,logFC,logCPM,PValue,FDR
LOC107987110,3.726076,-4.896088,0.0254088,0.04022781
LINC02358,3.725996,-4.896876,0.0290297,0.0453855
LINC01413,3.725555,-4.896244,0.02254788,0.03609109
LOC105370287,3.725459,-4.879929,0.02041947,0.03301497
CLCA1,3.725316,-3.913631,1.16E-07,4.58E-07
CSN3,3.724444,-4.894068,0.01842426,0.03004339
SEMA3F,3.724251,-2.808044,5.42E-10,2.85E-09
LINC00293,3.724123,-4.527574,0.000383055,0.000872078
LOC107985340,3.723387,-4.879329,0.02456147,0.03903312
LINC00052,3.723066,-4.880661,0.01989401,0.03223116
RNU5B-1,3.722783,-2.042515,2.28E-12,1.54E-11
SLC17A6,3.722631,-3.59079,5.68E-07,2.04E-06
LINC02594,3.722603,-2.363757,1.91E-13,1.42E-12
RPS6KA2-AS1,3.722214,-3.217736,1.22E-08,5.47E-08
LOC107984274,3.721941,-4.895094,0.02083429,0.03363163
LOC107987346,3.721681,-1.561658,4.18E-06,1.32E-05
TMIGD1,3.721597,-4.179467,1.51E-05,4.40E-05
LOC107985239,3.721572,-3.759582,9.05E-06,2.73E-05
NGB,3.721516,-4.894657,0.01876149,0.03054649
KCNQ2,3.720952,-2.973847,4.56E-09,2.16E-08
GABRE,3.720745,-3.828249,1.51E-07,5.88E-07
LOC107986198,3.720722,-4.510688,0.000353127,0.000809785
CYP2C19,3.720575,-4.023182,3.12E-07,1.16E-06
SLIT3-AS1,3.720448,-4.894806,0.01867776,0.03042612
LHFPL3-AS1,3.719521,-4.096551,1.48E-05,4.31E-05
LOC105371445,3.7194,-4.897202,0.02467794,0.039194
LOC105378466,3.718518,-4.896259,0.02169042,0.03483245
LOC105372812,3.718506,-4.897174,0.02488343,0.03949342
PARVA,3.717763,-2.508587,8.10E-13,5.68E-12
LINC02040,3.717519,-4.896393,0.0224338,0.03592089
LOC105370188,3.717496,-4.798016,0.005509957,0.01004088
LOC105372035,3.71663,-4.897237,0.02445242,0.03887894
LOC105370674,3.716107,-4.882824,0.01739609,0.02854683
SLITRK3,3.71606,-4.489779,0.000233249,0.000552016
LOC105378104,3.71605,-4.498344,0.000166632,0.000404987
LOC101928338,3.715977,-3.901978,3.35E-08,1.43E-07
LOC107984120,3.715912,-1.731933,1.24E-10,6.94E-10
LINC02131,3.715207,-4.585164,0.000557118,0.001229786
ZPBP,3.715037,-3.886341,2.48E-08,1.08E-07
LOC105377847,3.714958,-4.895382,0.01818991,0.02970158
LOC107985485,3.714421,-2.028357,2.98E-16,2.82E-15
LOC105374418,3.713753,-1.231584,3.42E-14,2.73E-13
ULBP2,3.713732,-2.827355,4.45E-06,1.40E-05
BARX2,3.71306,-4.551839,0.00047804,0.001069302
LINC01020,3.711987,-4.894551,0.01601182,0.02646652
DKFZp434L192,3.711749,-4.898291,0.02921706,0.04564392
LOC101927879,3.711673,-3.968147,3.45E-07,1.28E-06
LINC02260,3.711455,-4.882527,0.02023356,0.03272859
LINC02226,3.711413,-3.640609,4.02E-09,1.91E-08
LOC105375216,3.711327,-4.044979,2.34E-07,8.90E-07
LOC105379444,3.711056,-4.457432,6.52E-05,0.000171084
LINC02869,3.710839,-4.895872,0.01833776,0.02992199
RUNX1-IT1,3.710643,1.109001,1.72E-20,2.23E-19
MIR2052,3.71051,-4.8818,0.02337451,0.03731005
PCDHB9,3.709953,-4.790347,0.004921791,0.009055017
BPIFC,3.709887,-4.101122,5.52E-06,1.71E-05
LOC102724421,3.709781,-4.880684,0.02831908,0.04437883
PDE4C,3.708785,-2.701299,1.21E-10,6.80E-10
LOC105374368,3.70856,-1.183151,4.92E-23,7.42E-22
LOC112267984,3.70851,-4.166362,1.52E-05,4.44E-05
LOC105377141,3.708473,-4.898228,0.02498989,0.03964549
TRAJ27,3.708112,-2.486868,5.92E-15,5.02E-14
LOC101927237,3.707907,-2.505411,1.12E-17,1.19E-16
TFAMP1,3.707504,-4.690843,0.001323868,0.002724935
LOC105373117,3.706851,0.8951661,1.15E-13,8.78E-13
LOC105375704,3.706725,-4.025349,1.12E-06,3.85E-06
NAALADL2-AS3,3.70664,-4.895409,0.01592409,0.02632735
SLC26A9-AS1,3.706552,-4.896787,0.01844536,0.03007517
FRMPD4,3.706128,-3.642226,2.33E-07,8.84E-07
LOC105371856,3.706018,-2.998196,7.79E-08,3.15E-07
UROC1,3.705913,-3.299294,6.18E-11,3.59E-10
LOC105375410,3.705719,-3.602765,4.88E-08,2.04E-07
ANGPTL1,3.705384,-1.991805,1.63E-12,1.11E-11
LOC112268177,3.705284,0.1716809,3.62E-22,5.19E-21
LOC105378018,3.704787,-4.898688,0.02412102,0.03839542
LOC101929775,3.70408,-4.882153,0.02645425,0.04168802
LOC105374972,3.703925,-4.896893,0.01818667,0.02969889
BTF3P11,3.70323,-4.898367,0.02411754,0.03839542
TEX50,3.702882,-3.332957,1.21E-12,8.34E-12
ESYT3,3.702845,-2.161634,5.71E-10,2.99E-09
OR10X1,3.70278,-4.8969,0.01810704,0.02957663
OR5J2,3.701875,-4.898642,0.02135877,0.03436669
LOC107985371,3.701532,-4.897306,0.0182248,0.02975072
LOC107984710,3.701354,-4.896005,0.01566251,0.02592364
LOC105373271,3.701351,-1.009034,2.20E-13,1.63E-12
LINC01579,3.70133,-4.895981,0.0154,0.02553683
LINC02877,3.700726,-4.140246,3.10E-05,8.57E-05
C3P1,3.700256,-3.040532,1.10E-07,4.36E-07
LINC02171,3.700132,-4.898533,0.02119807,0.03414782
CCDC148,3.699995,-3.499206,7.61E-08,3.09E-07
SEMA3G,3.699956,1.117386,7.23E-08,2.94E-07
TRHR,3.69984,-4.030928,1.97E-05,5.65E-05
IL25,3.699679,-4.897486,0.01813901,0.02962755
TCONS_00068220,3.699443,-4.794127,0.004491006,0.008331204
LOC105379023,3.699377,-4.581329,0.001671147,0.00336461
LINC02392,3.699354,-4.897359,0.01765942,0.02892922
GH2,3.699235,-4.900262,0.03128579,0.04852561
PCDHA13,3.699161,-4.898301,0.02077359,0.03354819
LOC105369877,3.699157,-4.897362,0.01802925,0.02946508
LOC107986235,3.699026,-4.897394,0.0180106,0.02943977
LINC02805,3.698554,-4.898282,0.0206012,0.03328712
KRTAP6-3,3.698439,-4.897468,0.01798322,0.02940017
LOC105377535,3.698359,-4.89775,0.01808318,0.02954284
LOC340090,3.698158,-4.894773,0.01306259,0.02199583
LOC107986663,3.697845,-4.098288,4.58E-06,1.44E-05
LOC107984791,3.697758,-4.177673,4.31E-06,1.36E-05
LOC105370054,3.69759,-4.894594,0.01285945,0.02168711
LOC105447645,3.696978,-3.185525,1.63E-07,6.32E-07
C5orf64-AS1,3.696909,-4.899816,0.02460412,0.03909176
