,logFC,logCPM,PValue,FDR
RPL28,-1.729863546,8.951301619,7.63E-20,3.96E-17
CD7,-1.915830876,5.569629201,3.15E-19,1.36E-16
LIME1,-2.294763318,5.031782698,5.12E-18,1.45E-15
RPL18,-1.718818111,7.441805214,1.19E-17,3.13E-15
TLE5,-1.934329433,7.648083974,3.24E-17,7.40E-15
APRT,-1.79777215,4.543414792,2.18E-16,3.99E-14
RPS28,-1.803559955,6.303012928,4.13E-16,7.06E-14
ISG15,-5.299894121,7.439623222,6.16E-16,1.01E-13
CD27,-2.317684449,3.055899753,7.31E-16,1.18E-13
TRDC,-3.015669299,3.346796384,7.73E-16,1.23E-13
IL32,-2.256916142,6.947173305,8.80E-16,1.34E-13
ICAM2,-1.828465518,3.084901424,1.78E-15,2.49E-13
TRAC,-2.29470736,6.216874463,2.36E-15,3.08E-13
RPS15,-1.725424204,7.27926239,2.73E-15,3.51E-13
SRM,-1.840891468,3.836576837,2.89E-15,3.69E-13
HERC6,-2.82320374,3.407710088,3.65E-15,4.40E-13
RPL23A,-1.695761155,7.583775106,4.04E-15,4.83E-13
ITM2C,-2.757425774,4.657322525,4.64E-15,5.43E-13
ATP6V0E2,-2.02535796,3.564286713,5.55E-15,6.44E-13
CD3E,-2.113669461,6.609320361,5.93E-15,6.74E-13
RPL36,-1.840519348,6.612789376,5.94E-15,6.74E-13
TRBC2,-2.530566044,3.818395346,6.11E-15,6.89E-13
NOSIP,-1.704350829,5.548075302,8.66E-15,9.23E-13
SIT1,-2.265712525,3.475687493,8.67E-15,9.23E-13
IMP4,-1.465057249,3.682167539,8.67E-15,9.23E-13
RPL18A,-1.903777489,7.916051574,1.06E-14,1.10E-12
MBD3,-1.48546833,4.850948472,1.16E-14,1.17E-12
ABHD14B,-1.728081284,3.813759566,1.41E-14,1.39E-12
CLC,-3.294704954,2.894868627,1.42E-14,1.39E-12
NOP53,-1.916343907,7.37711149,1.42E-14,1.39E-12
FLT3LG,-2.247177356,4.536221558,1.47E-14,1.43E-12
BIN1,-1.671728858,4.942743742,2.79E-14,2.58E-12
SSR4,-1.717447365,5.029455739,4.39E-14,3.86E-12
ATP5F1D,-1.486867552,4.638542493,5.07E-14,4.43E-12
DPP7,-1.636672806,5.531011527,5.64E-14,4.90E-12
NHP2,-1.584969017,2.905293224,8.52E-14,7.16E-12
OASL,-3.203497849,6.286550091,1.01E-13,8.31E-12
C19orf48,-2.150856877,2.279847878,1.07E-13,8.72E-12
AKR1B1,-2.076518145,3.47019897,1.18E-13,9.44E-12
SNU13,-1.33784079,4.162116745,1.58E-13,1.22E-11
SEPTIN1,-1.955463415,4.799042112,1.59E-13,1.22E-11
RPS2,-1.461406006,8.87536609,1.87E-13,1.40E-11
DHRS3,-2.372374036,2.299238694,2.17E-13,1.61E-11
HSD17B10,-1.390762941,3.626876333,2.20E-13,1.62E-11
YIF1A,-1.669057588,2.801040911,2.23E-13,1.64E-11
LSM4,-1.623886019,3.908508743,2.29E-13,1.67E-11
C12orf57,-2.810389287,3.044177341,2.42E-13,1.75E-11
RUVBL2,-1.289811097,3.809791768,2.72E-13,1.92E-11
DGCR6L,-1.966844244,3.085571016,2.74E-13,1.92E-11
NUBP2,-1.487217812,3.838269483,3.03E-13,2.10E-11
CDK4,-1.879836388,2.077048744,3.11E-13,2.15E-11
DOK2,-1.530498588,5.943285875,3.30E-13,2.27E-11
LAT,-1.827883617,5.077033623,3.66E-13,2.46E-11
APEX1,-1.403608088,4.393896763,4.93E-13,3.28E-11
GZMM,-2.788789586,3.950146099,6.24E-13,4.04E-11
RPL19,-1.539058242,8.144851826,7.41E-13,4.68E-11
THAP7,-1.681341936,2.670717158,8.61E-13,5.36E-11
PHPT1,-1.726363075,2.806162294,1.01E-12,6.18E-11
OAS1,-3.039257496,6.966157856,1.37E-12,8.20E-11
HSH2D,-2.198406215,6.847425514,1.40E-12,8.39E-11
TMSB10,-1.664355468,8.175201824,1.43E-12,8.49E-11
COQ4,-1.510832565,2.913332797,1.52E-12,8.97E-11
CD247,-2.285611705,5.659476339,1.78E-12,1.04E-10
RPL13,-1.767165478,8.844149762,1.80E-12,1.05E-10
BUD23,-1.418479706,3.634026343,1.96E-12,1.12E-10
IDH2,-1.519155575,4.851473513,2.03E-12,1.16E-10
HMGA1,-1.521472782,5.641711935,2.10E-12,1.19E-10
SLC2A4RG,-1.772670514,4.098137183,2.15E-12,1.21E-10
RPL29,-1.66843977,6.740468388,2.37E-12,1.32E-10
MTFP1,-2.04851593,1.658280128,3.06E-12,1.67E-10
HSPBP1,-1.618568029,2.638010474,3.67E-12,1.93E-10
SNRPC,-1.41966232,3.531231736,3.96E-12,2.04E-10
NAXE,-1.719814618,3.000690117,4.00E-12,2.06E-10
NUTF2,-1.31069808,3.963093861,4.51E-12,2.30E-10
LCK,-2.073544933,5.795774604,4.68E-12,2.36E-10
RPS19,-1.611058049,6.919213445,4.68E-12,2.36E-10
RPS16,-1.584715215,7.125007748,5.33E-12,2.63E-10
PMVK,-1.565900108,3.073762464,5.46E-12,2.69E-10
BANF1,-1.412251916,4.182257394,5.81E-12,2.83E-10
MRPS26,-1.549324608,2.615613564,5.86E-12,2.85E-10
PRMT1,-1.574485949,3.862246284,6.31E-12,3.04E-10
FAM174C,-1.591134119,3.882749453,6.43E-12,3.09E-10
YDJC,-1.536647966,2.767299933,6.58E-12,3.14E-10
MICOS13,-2.069298663,2.278733301,7.65E-12,3.56E-10
AQP3,-1.90185031,3.738831976,7.83E-12,3.62E-10
IFIT1,-5.00835488,6.38161227,7.84E-12,3.62E-10
CHPF,-2.361242809,1.881747457,7.85E-12,3.62E-10
SIGMAR1,-1.236752851,3.675396379,7.92E-12,3.64E-10
MRPL38,-1.422543634,3.638851605,9.03E-12,4.09E-10
CENPB,-1.282119043,4.568263791,9.05E-12,4.09E-10
RPL14,-1.428499605,6.59843248,9.67E-12,4.33E-10
ISG20,-2.124391615,6.449591074,1.05E-11,4.70E-10
USP18,-4.900025609,2.93438471,1.07E-11,4.75E-10
CD3D,-2.672484768,4.007701058,1.13E-11,4.95E-10
IMP3,-1.37078913,3.426722466,1.20E-11,5.19E-10
TSEN54,-2.133145333,2.95136638,1.25E-11,5.36E-10
MX1,-3.486885677,7.912639273,1.34E-11,5.71E-10
GFER,-1.605069467,2.788707783,1.35E-11,5.76E-10
PDXP,-1.649058222,2.042706358,1.36E-11,5.77E-10
CD320,-1.957449397,2.782762017,1.49E-11,6.22E-10
ISOC2,-2.053098391,1.947063999,1.51E-11,6.28E-10
ECI1,-1.581320709,2.730581042,1.55E-11,6.42E-10
TRBC1,-2.441399945,3.546785756,1.67E-11,6.89E-10
EIF3G,-1.275810444,5.996429686,1.70E-11,6.98E-10
REX1BD,-1.397730178,3.685672466,1.82E-11,7.44E-10
TRMT2A,-1.274745479,3.700799704,1.93E-11,7.78E-10
OAS2,-2.731689351,6.521801463,1.94E-11,7.82E-10
IFI6,-4.017465103,7.807184308,2.09E-11,8.31E-10
THEM6,-1.727938654,2.282985725,2.09E-11,8.31E-10
PHB1,-1.715172137,4.049925455,2.17E-11,8.58E-10
TRAPPC2L,-1.403161492,2.664508586,2.35E-11,9.23E-10
PPIA,-1.731086498,6.344431793,2.51E-11,9.80E-10
RPLP2,-1.511796426,7.885025163,2.53E-11,9.83E-10
POLD2,-1.697033612,3.131786362,2.88E-11,1.11E-09
MFNG,-1.142906671,5.300972053,2.96E-11,1.13E-09
RPL10A,-1.567695846,6.517179084,3.22E-11,1.22E-09
RPL13AP5,-1.735916616,4.634596829,3.36E-11,1.25E-09
IGKV4-1,-3.19675158,4.342868621,3.38E-11,1.26E-09
KLHDC7B,-2.476932446,3.246310941,3.53E-11,1.30E-09
TRAPPC6A,-1.941533121,2.440628191,3.53E-11,1.30E-09
RPS5,-1.996325656,5.399323322,3.61E-11,1.33E-09
PRR5,-2.396296443,4.496404766,3.90E-11,1.42E-09
