,logFC,logCPM,PValue,FDR
FAM217B,2.074572179,3.228568409,1.92E-15,2.67E-13
SEMA6B,3.495274568,3.103537798,1.96E-15,2.70E-13
KDM7A,1.570289095,4.774994999,2.05E-15,2.80E-13
FNDC3B,2.277955781,5.217622444,2.17E-15,2.93E-13
LOC105376244,2.602724102,1.030954293,2.19E-15,2.94E-13
HOOK3,1.458500778,3.857177935,2.28E-15,3.01E-13
LOC107985926,4.829142145,2.750155854,2.28E-15,3.01E-13
CAB39,2.021838791,6.305271889,2.52E-15,3.26E-13
B3GNT5,3.241090138,2.497662467,2.93E-15,3.71E-13
STXBP5,1.774650508,3.892051878,3.33E-15,4.17E-13
MKNK1-AS1,3.094003642,2.13749209,3.43E-15,4.25E-13
TTN,1.872540982,4.290060952,3.44E-15,4.25E-13
RBMS1,1.70006895,5.384029159,3.55E-15,4.31E-13
CLIP1,1.821812522,4.942138808,3.55E-15,4.31E-13
GAS7,2.33010651,7.503029711,4.58E-15,5.43E-13
TET2,2.442491673,5.439156692,4.63E-15,5.43E-13
PLXNC1,2.192263406,7.146328538,5.72E-15,6.58E-13
GRB10,3.836307059,4.48524873,6.72E-15,7.52E-13
GYG1,2.918884974,6.734822904,6.98E-15,7.75E-13
PJA2,1.927682903,5.580318844,7.44E-15,8.21E-13
SLA,1.982895919,7.894825857,8.03E-15,8.79E-13
PXK,1.982847457,5.038931453,8.19E-15,8.90E-13
PGS1,1.863273882,6.761583702,9.03E-15,9.55E-13
TLR4,2.151295844,7.050045424,9.28E-15,9.75E-13
GOLM2,1.500455854,4.198289568,9.45E-15,9.86E-13
ZDHHC20,2.089750458,5.00099553,1.07E-14,1.10E-12
ATXN1,1.662677086,4.960071498,1.07E-14,1.10E-12
BRWD3,1.576703116,3.766789075,1.15E-14,1.17E-12
DACH1,3.35313717,2.02095066,1.17E-14,1.17E-12
CD163,2.529742465,5.850077955,1.40E-14,1.39E-12
FAR1,2.039989869,4.401214137,1.92E-14,1.84E-12
TAOK1,1.592265609,4.253386072,1.92E-14,1.84E-12
DNAJC13,1.942338278,4.353568142,1.97E-14,1.88E-12
KCNE1,2.921591534,2.296271886,1.99E-14,1.89E-12
BNIP2,1.880631884,5.344202152,2.64E-14,2.48E-12
CLEC5A,2.977470014,3.591260423,2.64E-14,2.48E-12
SLC12A6,1.799632185,6.735145631,2.67E-14,2.49E-12
FCAR,2.694843827,6.123377635,2.92E-14,2.69E-12
IGF1R,2.280345198,5.133879259,3.00E-14,2.74E-12
PCNX1,1.744046368,6.230770301,3.19E-14,2.90E-12
OSBPL8,2.050868446,4.733309038,3.22E-14,2.91E-12
SEL1L,1.548785895,4.799432219,3.63E-14,3.26E-12
ZDHHC17,1.792961307,3.02210278,3.75E-14,3.35E-12
DCP2,1.525283737,4.72269527,3.82E-14,3.39E-12
GADD45A,3.094087747,4.637510299,4.18E-14,3.69E-12
SECISBP2L,1.772284443,2.861388653,5.68E-14,4.91E-12
SORL1,2.479780147,8.951565591,5.78E-14,4.97E-12
GPR141,2.082141246,4.18512941,6.34E-14,5.42E-12
MTF1,1.879483702,5.086186645,6.46E-14,5.49E-12
PCYT1A,1.728436299,5.964018933,7.90E-14,6.67E-12
LOC105377743,3.031507785,3.355853987,8.60E-14,7.19E-12
ACSL1,2.671645781,9.749060786,9.41E-14,7.83E-12
CBL,2.05224531,5.248146588,9.71E-14,8.03E-12
ABHD12B,2.558654559,2.02847026,1.03E-13,8.45E-12
B4GALT5,2.057070444,6.638597306,1.13E-13,9.17E-12
CYP1B1,3.589574037,4.537365804,1.15E-13,9.26E-12
PPM1B,1.513616008,3.554135738,1.24E-13,9.91E-12
NSUN7,2.899677558,3.030723603,1.25E-13,9.91E-12
PSTPIP2,2.307876852,5.801515526,1.26E-13,9.93E-12
HIPK3,2.154698525,5.355209011,1.39E-13,1.10E-11
KRAS,1.366533332,3.999027202,1.49E-13,1.16E-11
FCHO2,2.263741674,2.604406954,1.51E-13,1.17E-11
RASA2,1.857305241,4.094821943,1.55E-13,1.20E-11
PIKFYVE,1.641057216,3.645071377,1.69E-13,1.29E-11
ZSWIM6,1.928111597,4.105142265,1.71E-13,1.30E-11
SYNJ1,1.869066475,3.463410564,1.82E-13,1.38E-11
DYNC1LI2,1.340987492,4.143368067,2.00E-13,1.49E-11
MAP3K20,1.832959719,3.029265451,2.01E-13,1.49E-11
FBXO38,1.646383533,4.790871907,2.40E-13,1.74E-11
PTCSC1,2.997169344,1.651117812,2.47E-13,1.78E-11
CMTM4,2.295580238,1.952322628,2.50E-13,1.79E-11
EP300,1.76458129,6.083171042,2.58E-13,1.84E-11
CPEB4,2.139004282,4.817310297,2.59E-13,1.84E-11
IL18RAP,2.460852597,6.825787311,2.74E-13,1.92E-11
SLC22A15,2.019140325,3.085886642,2.87E-13,2.00E-11
HIPK1,1.688484214,5.456756782,3.35E-13,2.29E-11
SLC25A40,1.896253946,2.884475522,3.40E-13,2.32E-11
MACF1,1.612879125,6.428244572,3.45E-13,2.34E-11
SSH2,2.014692616,7.369798685,3.66E-13,2.46E-11
PDZD8,1.99285956,4.029132932,3.78E-13,2.54E-11
ZYG11B,1.714813399,3.013629099,3.92E-13,2.62E-11
SPTLC1,1.426188625,3.945650584,5.54E-13,3.67E-11
RAB27A,1.596053052,5.923891339,5.60E-13,3.69E-11
IDI1,2.316601591,4.337860846,5.66E-13,3.71E-11
NF1,1.537751277,3.186725949,5.99E-13,3.90E-11
GCA,2.131251937,7.127538062,5.99E-13,3.90E-11
PTPN12,1.69063875,5.209650702,7.18E-13,4.60E-11
CKLF,1.945993822,2.34060237,7.18E-13,4.60E-11
ST6GALNAC3,2.83453302,1.72124848,7.19E-13,4.60E-11
ALCAM,2.128309735,2.715447666,7.31E-13,4.66E-11
HIPK2,1.796833731,4.634125042,7.38E-13,4.68E-11
JAK3,1.558488286,8.464496024,7.69E-13,4.84E-11
EIF4G3,1.688175366,4.88389466,8.03E-13,5.04E-11
LMTK2,2.078748841,4.485344941,8.57E-13,5.35E-11
PTBP3,1.432354918,5.469982106,9.13E-13,5.65E-11
LOC107985392,2.347000872,1.759400215,9.22E-13,5.69E-11
SNX18,1.87733482,5.012887278,9.52E-13,5.83E-11
NDST2,1.67466623,5.594515851,9.53E-13,5.83E-11
GBE1,2.246135213,3.132737746,1.07E-12,6.50E-11
KLHL8,2.055996248,3.316601481,1.10E-12,6.67E-11
CD44,1.781869226,8.39410918,1.29E-12,7.79E-11
FAM172A,1.505530243,2.936575188,1.47E-12,8.72E-11
