,logFC,logCPM,PValue,FDR
HELB,1.412184384,2.333871337,7.12E-07,7.18E-06
STAT3,1.163696104,7.549692814,7.16E-07,7.22E-06
RELCH,1.15499164,3.197464484,7.24E-07,7.29E-06
PELI1,1.609088773,5.200908597,7.37E-07,7.40E-06
IL22RA2,8.09963407,-2.92453684,7.42E-07,7.44E-06
LOC105372801,2.129596231,3.194581911,7.46E-07,7.48E-06
ZXDC,0.876914628,4.313460183,7.53E-07,7.53E-06
LINC02656,2.258620416,1.717266496,7.55E-07,7.55E-06
WDR44,1.201851838,2.379750467,7.82E-07,7.80E-06
TRMT1L,1.053962977,3.143742421,8.23E-07,8.16E-06
AHCTF1P1,1.717206301,1.026757851,8.25E-07,8.17E-06
CD82,1.356428336,6.671856998,8.34E-07,8.25E-06
ADGRE2,1.481729634,6.657776936,8.39E-07,8.30E-06
MFSD13A,1.191948152,3.264587424,8.51E-07,8.41E-06
LOC107984990,2.693001525,0.376313906,8.57E-07,8.46E-06
SH3PXD2B,3.595180584,1.681088907,8.61E-07,8.49E-06
ATXN7,1.217315122,4.522514671,8.71E-07,8.57E-06
SLC35F5,1.004011712,3.1467808,8.77E-07,8.61E-06
AGL,1.584192581,1.650251038,8.86E-07,8.69E-06
LOC101929667,2.684701855,2.507513799,8.93E-07,8.76E-06
GSK3B,0.983462381,4.562168454,8.95E-07,8.77E-06
KDM5B,0.96915392,3.873909582,9.08E-07,8.89E-06
NRDC,0.914532521,6.384741696,9.09E-07,8.90E-06
GPBP1L1,0.804315563,5.384511548,9.14E-07,8.94E-06
ACTR3,0.976454387,7.100588558,9.26E-07,9.04E-06
CD58,1.149034949,3.648196363,9.36E-07,9.12E-06
ZFR,1.040693769,4.234188812,9.48E-07,9.22E-06
RASA1,1.125676069,2.711289059,9.51E-07,9.24E-06
RNF19A,1.06934611,3.825997495,9.55E-07,9.28E-06
PPP1R21,0.894973929,3.806687493,9.62E-07,9.33E-06
KIAA0825,1.904461646,1.533995063,9.71E-07,9.41E-06
UBR5-DT,1.660495055,1.76846928,9.96E-07,9.63E-06
RBPJ,1.148812393,5.555740988,1.01E-06,9.76E-06
PDCD6IP,0.854483873,5.214978336,1.02E-06,9.83E-06
LOC100996442,2.536838571,0.499608068,1.03E-06,9.88E-06
TMEM65,1.185192345,2.795135231,1.03E-06,9.94E-06
TEX2,1.225175722,2.980598494,1.03E-06,9.94E-06
NFE2L2,0.976408228,5.101501815,1.05E-06,1.00E-05
VCAN-AS1,4.568120583,-1.671412165,1.05E-06,1.01E-05
ZNF81,1.108367038,2.059587187,1.06E-06,1.01E-05
IL10RB-DT,1.455438165,1.72823324,1.07E-06,1.02E-05
KDM4B,1.224367021,6.33982107,1.07E-06,1.03E-05
PCF11,0.956580865,4.471145276,1.07E-06,1.03E-05
HMBOX1,0.944425999,4.567481031,1.09E-06,1.04E-05
LRRFIP1,0.981356132,6.924160438,1.11E-06,1.05E-05
PRKCD,1.215095431,7.560640088,1.13E-06,1.07E-05
CPEB3,1.67446002,0.982251972,1.16E-06,1.10E-05
MAPRE1,1.04939288,5.401551455,1.17E-06,1.11E-05
ST8SIA4,1.017836148,5.184424438,1.17E-06,1.11E-05
LRRC4,1.426068205,4.857111393,1.19E-06,1.12E-05
LOC100132287,1.965437307,2.213777465,1.20E-06,1.13E-05
ARL11,1.066972343,4.271855158,1.20E-06,1.13E-05
TMEM71,1.063589825,5.357845305,1.22E-06,1.15E-05
ERLIN2,1.085217983,3.152654986,1.23E-06,1.16E-05
C9orf72,1.247264726,3.956442311,1.23E-06,1.16E-05
NUDT16,1.484189257,5.198360702,1.24E-06,1.16E-05
ECHDC3,3.117466315,2.317292728,1.24E-06,1.16E-05
INPP5A,1.151758644,2.847824419,1.24E-06,1.16E-05
VPS35,0.97980186,5.399286908,1.25E-06,1.17E-05
SLC12A9,1.090519487,7.112682545,1.25E-06,1.17E-05
SPEN,1.080615401,5.464942371,1.27E-06,1.18E-05
CSAD,1.198991038,4.936960607,1.30E-06,1.21E-05
ZEB1,1.201844523,2.397201886,1.30E-06,1.21E-05
UBE2J1,1.163887657,6.186079575,1.30E-06,1.21E-05
TRIM33,0.833211477,4.023346468,1.30E-06,1.21E-05
USP22,0.843043976,5.383608796,1.33E-06,1.23E-05
ALPL,2.21780471,9.221846595,1.34E-06,1.24E-05
ARHGAP26,1.412659801,6.738845243,1.34E-06,1.24E-05
HSPA1A,2.191912036,2.687748058,1.36E-06,1.26E-05
ABHD5,1.154214052,4.724318769,1.37E-06,1.26E-05
CHMP1B,0.949653959,5.005707909,1.44E-06,1.32E-05
CYP1B1-AS1,2.862797808,0.22581422,1.45E-06,1.33E-05
ANKRD28,1.354324777,2.841556462,1.48E-06,1.35E-05
ARL8A,1.140499703,5.671533759,1.48E-06,1.36E-05
TOB1,1.254246626,3.851243228,1.49E-06,1.37E-05
PADI2,1.820128755,7.628196591,1.50E-06,1.37E-05
ZNF699,1.319862371,0.868066898,1.50E-06,1.37E-05
NDUFAF7,1.191289351,2.774643555,1.51E-06,1.38E-05
STAG2,1.136901787,5.44782485,1.54E-06,1.40E-05
CDYL2,1.260685008,1.811052089,1.54E-06,1.41E-05
TECPR2,1.427678609,6.14235351,1.55E-06,1.42E-05
ELF2,0.977124466,3.858445794,1.56E-06,1.42E-05
LOC107986413,3.447025358,-0.229600259,1.57E-06,1.43E-05
RTF1,0.889496143,4.626217936,1.61E-06,1.46E-05
RAB5B,0.997598406,4.433522384,1.62E-06,1.47E-05
PER1,1.981068614,4.69171879,1.65E-06,1.49E-05
CEP83,1.248770587,3.364831834,1.68E-06,1.52E-05
PNPLA1,1.705850386,3.224552343,1.69E-06,1.53E-05
RCAN1,1.289335935,2.114601726,1.70E-06,1.53E-05
CHD8,0.907460886,5.194089122,1.70E-06,1.53E-05
PEAK3,1.415019931,5.067599592,1.70E-06,1.53E-05
ZNF518A,1.300489665,2.803941151,1.71E-06,1.53E-05
CELF2,0.918446341,7.035193691,1.72E-06,1.54E-05
IFNGR1,1.282489965,6.402619916,1.72E-06,1.54E-05
TMX4,1.044850348,5.362127174,1.72E-06,1.55E-05
ASB7,1.032551761,2.64459615,1.73E-06,1.55E-05
IFNGR2,1.005962095,4.211265378,1.74E-06,1.56E-05
KCNJ2,1.809572535,5.313624142,1.75E-06,1.57E-05
MAPK10,5.220022496,-0.715456753,1.76E-06,1.58E-05
TBXAS1,1.12640642,6.535919846,1.77E-06,1.58E-05
UBE2D1,1.179271744,4.433925626,1.77E-06,1.58E-05
TENT2,0.953468206,3.898439903,1.78E-06,1.59E-05
KDM6B,1.388967272,7.639244773,1.78E-06,1.59E-05
EMSY,1.066530301,2.906328926,1.79E-06,1.60E-05
SIRPB1,1.448202001,7.413122548,1.85E-06,1.64E-05
HECA,0.918259956,5.187626004,1.85E-06,1.64E-05
APLP2,1.155653829,7.828734782,1.88E-06,1.67E-05
SLC9A7P1,1.867664782,1.094400092,1.89E-06,1.67E-05
ZNF776,1.192497468,2.657011416,1.90E-06,1.69E-05
GIT2,0.942807971,6.166618427,1.91E-06,1.69E-05
MAPK13,1.12345672,5.596771581,1.92E-06,1.70E-05
KLHL15,1.479506537,1.055303103,1.95E-06,1.72E-05
ARID1A,1.150731078,5.978474078,1.98E-06,1.75E-05
HAUS4,1.188946556,5.403578239,1.99E-06,1.75E-05
COX15,0.819793396,3.794392462,2.00E-06,1.77E-05
GSEC,1.609697076,2.897108549,2.05E-06,1.80E-05
ERO1A,1.087016629,5.305861732,2.05E-06,1.80E-05
APBB1IP,1.282817199,7.846946921,2.05E-06,1.80E-05
MAPKAPK2,1.012183922,6.351705917,2.09E-06,1.83E-05
FBXL3,1.201979441,3.47991233,2.09E-06,1.84E-05
AKTIP,1.09140684,2.614942509,2.12E-06,1.85E-05
PPP2R5A,0.913672026,5.251639708,2.13E-06,1.86E-05
ARID2,0.983964362,3.057349831,2.15E-06,1.87E-05
SLC15A2,1.287162873,1.602858693,2.22E-06,1.93E-05
PUM2,0.90320803,4.9281474,2.23E-06,1.93E-05
UGGT1,0.799301572,4.780451175,2.27E-06,1.96E-05
PLEKHF2,1.077014424,2.674059157,2.37E-06,2.04E-05
RREB1,1.10223435,3.644842181,2.39E-06,2.06E-05
LOC105375532,1.303395896,4.059096473,2.41E-06,2.07E-05
CSNK1D,0.911456149,6.79863402,2.42E-06,2.08E-05
GTF2H2,2.0267188,-0.342276849,2.42E-06,2.08E-05
TMEM43,1.08824748,5.632560477,2.43E-06,2.09E-05
TRIP12,0.92002894,6.416180594,2.46E-06,2.11E-05
RAB7A,0.966381289,7.529465607,2.51E-06,2.15E-05
GIGYF2,0.911702487,4.351703341,2.56E-06,2.19E-05
MIDN,1.024225448,7.235779256,2.57E-06,2.20E-05
NMNAT2,3.253828156,-1.062267187,2.58E-06,2.20E-05
RSRP1,0.857244433,6.128905085,2.61E-06,2.22E-05
TLR10,1.230777916,2.970829571,2.62E-06,2.23E-05
UBA6,1.191129463,3.37022572,2.63E-06,2.23E-05
CYP19A1,5.507973261,0.84588646,2.64E-06,2.24E-05
ATL3,0.86823359,3.758460177,2.64E-06,2.24E-05
RETN,2.856735281,5.12153073,2.66E-06,2.26E-05
UBE4B,0.868143384,4.617462957,2.67E-06,2.26E-05
KCNJ2-AS1,2.332795385,0.95750511,2.67E-06,2.26E-05
CYYR1,4.625893206,0.080324489,2.68E-06,2.27E-05
DOK3,1.324758355,8.511340443,2.68E-06,2.27E-05
PLEKHM1P1,0.857023454,4.18035895,2.73E-06,2.31E-05
TBL1X,1.252167355,5.708893741,2.76E-06,2.33E-05
FMN1,2.825006129,-0.480182828,2.86E-06,2.40E-05
CTDP1,1.096594668,4.360479635,2.86E-06,2.41E-05
SPTY2D1,0.970125223,3.095062081,2.88E-06,2.42E-05
MTM1,1.105682975,2.436775836,2.89E-06,2.43E-05
NEK7,1.37964922,3.241402497,2.93E-06,2.45E-05
PRDM2,0.81280667,4.848906513,2.95E-06,2.47E-05
SIRPD,1.424586767,1.625895934,2.95E-06,2.47E-05
RAPGEF2,1.22982963,4.151694118,2.98E-06,2.50E-05
STXBP3,1.029354511,3.848660931,3.00E-06,2.51E-05
FBXO33,1.070873826,2.964731031,3.01E-06,2.51E-05
TAOK3,0.820909483,5.207302394,3.04E-06,2.53E-05
PHC2,1.383320731,7.64050152,3.08E-06,2.56E-05
OLFM4,3.716805165,5.33630095,3.11E-06,2.59E-05
ZNF770,1.217478486,2.587537783,3.14E-06,2.61E-05
CD53,0.921123728,8.084026871,3.15E-06,2.62E-05
LOC105377771,2.117194775,1.514154993,3.21E-06,2.67E-05
TNKS2,0.928535027,4.169345664,3.29E-06,2.73E-05
LOC112268330,2.720428733,1.935150523,3.29E-06,2.73E-05
GALNT14,2.311128665,3.751633796,3.32E-06,2.75E-05
MACIR,2.185857281,1.420900687,3.37E-06,2.78E-05
SMARCA2,1.069955809,5.02335977,3.40E-06,2.80E-05
NCOA3,0.944192263,5.218634928,3.42E-06,2.82E-05
SON,0.907979406,6.242316248,3.44E-06,2.83E-05
LOC107987081,1.933776964,1.311441526,3.47E-06,2.84E-05
SEMA4A,1.47822867,7.125969001,3.47E-06,2.85E-05
SMNDC1,0.907566817,3.330642749,3.52E-06,2.88E-05
HP,2.956269197,5.392230104,3.53E-06,2.89E-05
RRM2B,1.202093259,2.844154883,3.57E-06,2.92E-05
TMTC1,2.93500329,2.282901346,3.63E-06,2.96E-05
LOC101929309,3.937752378,-0.833701314,3.65E-06,2.97E-05
CACNA1E,2.05292638,3.725625723,3.67E-06,2.99E-05
NDRG1,0.919163331,5.79854674,3.68E-06,2.99E-05
DHTKD1,1.012440991,3.909484034,3.70E-06,3.01E-05
RALGAPB,0.82769669,4.447744838,3.71E-06,3.01E-05
BAZ2B,1.123468518,4.367605873,3.76E-06,3.05E-05
SLC35A5,1.027241223,2.519741254,3.77E-06,3.05E-05
GASK1B,1.603340111,3.38376255,3.81E-06,3.08E-05
SETD2,0.815575826,4.773585862,3.86E-06,3.11E-05
JMJD6,0.995072869,4.47501312,3.91E-06,3.15E-05
SLC36A4,1.290027421,1.998635581,3.95E-06,3.18E-05
SHROOM4,3.9429994,-0.157666932,3.96E-06,3.19E-05
FCHSD2,0.930304801,3.840040294,3.97E-06,3.19E-05
NRBF2,1.108528915,5.071386468,3.98E-06,3.20E-05
MIA2,0.849234446,3.943182904,4.00E-06,3.21E-05
TIRAP,1.036083686,2.396809393,4.02E-06,3.23E-05
SMPD5,4.844552712,0.46890859,4.09E-06,3.27E-05
POGZ,0.793418594,4.63824507,4.18E-06,3.34E-05
PHF8,0.950467007,4.539588056,4.25E-06,3.39E-05
CUL3,0.871122599,4.964675458,4.30E-06,3.43E-05
DDX6,0.82383321,5.890085582,4.31E-06,3.43E-05
PIP4P2,1.108627888,3.78994782,4.32E-06,3.43E-05
DHRS9,1.78744633,4.949739649,4.41E-06,3.50E-05
DNAJB14,1.163927091,2.732815341,4.46E-06,3.53E-05
SCAF11,0.915183634,5.53643577,4.55E-06,3.60E-05
NPTN-IT1,2.01102412,0.132744174,4.55E-06,3.60E-05
TAB2,1.010425207,5.14459601,4.57E-06,3.61E-05
EML4,1.100404117,4.745660497,4.60E-06,3.63E-05
DSC2,2.29739329,3.554869729,4.64E-06,3.66E-05
IRAG1-AS1,2.613797947,-0.321211644,4.65E-06,3.66E-05
SF3B1,0.873361692,6.778129508,4.67E-06,3.68E-05
HHEX,1.160346756,4.368831382,4.79E-06,3.76E-05
CEP170,2.482465618,-1.542669777,4.85E-06,3.80E-05
LGALS8,0.956222138,4.747667889,4.90E-06,3.84E-05
KIF5B,1.135889822,4.524779958,4.98E-06,3.89E-05
RSKR,1.19307855,1.509611366,5.05E-06,3.94E-05
RUBCNL,1.406232226,4.317230107,5.07E-06,3.96E-05
ZFP36L1,1.294124932,7.880569137,5.12E-06,3.99E-05
TNRC6B,0.84506316,5.309744537,5.15E-06,4.01E-05
APP,1.151561982,4.772479291,5.17E-06,4.02E-05
MFN2,1.169107289,6.198926097,5.21E-06,4.05E-05
INSIG2,1.260836946,1.883563325,5.22E-06,4.06E-05
TLN1,1.181232886,9.051476393,5.32E-06,4.13E-05
LOC105376725,2.55733869,0.187541775,5.32E-06,4.13E-05
LACTB,1.059038267,3.682370191,5.39E-06,4.17E-05
SLC9A8,1.012085942,5.873522948,5.39E-06,4.17E-05
MON2,0.925080706,3.42782343,5.40E-06,4.18E-05
EFCAB8,1.328331853,1.553345729,5.43E-06,4.19E-05
GNAT2,2.024901344,0.740194067,5.44E-06,4.20E-05
MARCHF6,0.861363859,5.072535597,5.46E-06,4.21E-05
PCSK9,6.562787776,-0.000596694,5.51E-06,4.24E-05
RAB10,0.841216098,5.633668786,5.52E-06,4.25E-05
GCNT1,1.071819048,2.531259079,5.54E-06,4.26E-05
PUM1,0.996819663,3.930133697,5.61E-06,4.31E-05
CYRIB,0.911454848,6.509402306,5.61E-06,4.31E-05
USP32P2,2.128839867,0.904208698,5.64E-06,4.33E-05
RFLNB,1.481266974,2.462793512,5.66E-06,4.34E-05
REPS2,1.439994792,4.313849986,5.72E-06,4.39E-05
TADA2B,0.884025473,4.800809,5.73E-06,4.39E-05
PTTG1IP,0.833931931,6.331464365,5.77E-06,4.42E-05
HMGCR,1.092192699,3.596193189,5.78E-06,4.43E-05
LAMP1,1.08913425,6.634467738,5.79E-06,4.43E-05
RASGRP4,1.176476583,7.368122718,5.86E-06,4.47E-05
TCP11L2,1.348676168,4.70450441,6.01E-06,4.58E-05
SNX1,0.769392721,5.999983964,6.08E-06,4.63E-05
MLXIP,1.085713336,4.621177265,6.10E-06,4.64E-05
LYN,1.285957096,8.330377217,6.16E-06,4.67E-05
NOTCH1,1.230277106,6.773991977,6.21E-06,4.70E-05
ULK1,0.965886863,6.1875981,6.31E-06,4.77E-05
ADAMTS2,4.299924243,2.615557512,6.37E-06,4.80E-05
STK4,0.846590462,6.544579565,6.43E-06,4.84E-05
ALOX5AP,1.575419515,8.1615837,6.43E-06,4.84E-05
RNF13,0.978512541,5.086864306,6.48E-06,4.87E-05
SPTLC2,1.296430748,6.293767733,6.54E-06,4.90E-05
TNFAIP3,1.364561488,5.071956591,6.55E-06,4.91E-05
ITGB2,1.238361018,9.88751384,6.59E-06,4.94E-05
UBL3,1.002864964,3.155948644,6.62E-06,4.96E-05
CGAS,1.079501835,2.734067364,6.66E-06,4.98E-05
LINC01094,1.922395261,1.64457583,6.68E-06,5.00E-05
LOC105378041,4.038905213,-2.254340387,6.78E-06,5.07E-05
ARNT,0.853932479,4.669356169,6.80E-06,5.07E-05
ANKRD17,0.870296078,4.515747665,6.89E-06,5.14E-05
TANC2,1.572313765,2.51839956,6.95E-06,5.18E-05
VPS8,0.951226863,4.664310934,7.02E-06,5.23E-05
PPP3CB,0.883529363,3.560380771,7.05E-06,5.24E-05
INSR,1.204566704,2.107679507,7.06E-06,5.25E-05
ZNF552,0.956088416,2.878270505,7.09E-06,5.27E-05
TYW5,1.161160616,1.615956065,7.11E-06,5.28E-05
BSND,5.04685499,-0.275583696,7.22E-06,5.35E-05
LINC-PINT,1.003094616,2.80900061,7.26E-06,5.38E-05
SPAST,1.076165703,2.700258346,7.27E-06,5.38E-05
PELATON,1.35177813,6.287086566,7.28E-06,5.39E-05
PBRM1,0.861707672,3.777860854,7.33E-06,5.42E-05
GATAD2B,1.442393959,0.502480761,7.38E-06,5.45E-05
YTHDC2,1.005111012,2.824009836,7.38E-06,5.45E-05
LINGO3,1.046508181,4.625325339,7.40E-06,5.47E-05
CHP1,1.022702793,5.398823744,7.51E-06,5.54E-05
ZNF254,1.878612767,1.225588869,7.63E-06,5.62E-05
MAP3K3,0.977969211,6.525856501,7.64E-06,5.62E-05
ITGAX,1.186929881,8.869631883,7.70E-06,5.66E-05
DHCR7,1.549821517,2.537637308,7.71E-06,5.67E-05
AOAH-IT1,2.021437563,0.071304689,7.81E-06,5.73E-05
WDFY2,0.813789054,4.774072982,7.87E-06,5.77E-05
THBS1,2.048654655,3.775983304,7.89E-06,5.79E-05
COPA,0.873475364,5.977892019,7.92E-06,5.81E-05
NBR1,0.825861241,5.741112372,7.95E-06,5.82E-05
RNF44,0.99660762,6.215658797,7.98E-06,5.84E-05
LOC102723798,1.891987389,0.493230533,8.04E-06,5.88E-05
VPS13D,0.825661489,4.209371917,8.11E-06,5.92E-05
P4HA1,1.272057634,3.242688878,8.22E-06,5.99E-05
UBR1,1.066524137,2.770764194,8.26E-06,6.01E-05
RYBP,1.467454089,1.366104924,8.31E-06,6.05E-05
NFKB1,0.968640079,5.434184539,8.35E-06,6.07E-05
NLK,1.029997249,2.180795086,8.40E-06,6.10E-05
OSBPL2,0.895933576,5.616230311,8.43E-06,6.12E-05
ANKRD44,0.947637698,5.316041917,8.49E-06,6.16E-05
ABI1,0.849487417,5.121558548,8.55E-06,6.20E-05
GCLM,1.435291451,2.854739756,8.61E-06,6.24E-05
ECE1,1.257116064,7.568991118,8.86E-06,6.41E-05
SMAP2,1.417960029,8.887560475,8.87E-06,6.41E-05
STAM2,0.840270553,3.208529919,8.91E-06,6.44E-05
CSNK1G1,0.742342069,3.412573925,9.00E-06,6.50E-05
ZDHHC3,1.023601557,4.869789039,9.06E-06,6.54E-05
SYCP2,2.301716733,1.431734594,9.24E-06,6.67E-05
KDM2A,0.859221732,6.647351413,9.33E-06,6.72E-05
IDNK,1.221944887,2.793109425,9.49E-06,6.83E-05
PSEN1,0.85151867,5.940905737,9.51E-06,6.84E-05
RESF1,1.235502034,6.936951364,9.64E-06,6.93E-05
SUMF1,1.058969446,3.406408936,9.65E-06,6.93E-05
ERICH1,0.870061424,5.309490502,9.71E-06,6.97E-05
LOC114224,3.376895792,-2.342495571,9.72E-06,6.97E-05
CD164,0.963013732,5.924176798,9.75E-06,6.99E-05
ARHGEF11,1.174738308,5.683138499,9.81E-06,7.03E-05
GALC,0.912765228,3.528536013,1.01E-05,7.24E-05
TTPAL,0.866544722,3.34265936,1.03E-05,7.32E-05
ATXN2,0.816790824,3.365454897,1.03E-05,7.35E-05
MTARC1,1.55255643,5.064753114,1.04E-05,7.38E-05
LAMP2,0.956833186,6.314026269,1.04E-05,7.38E-05
ZNF746,0.965256795,5.301190404,1.04E-05,7.40E-05
SPG11,0.786479183,5.380577212,1.05E-05,7.50E-05
LOC105377347,1.36643486,1.316714923,1.05E-05,7.51E-05
LOC105375633,6.993880065,-2.914979126,1.06E-05,7.53E-05
RCOR3,0.801973125,3.508913711,1.06E-05,7.56E-05
NCKAP5L,1.015699003,4.503210497,1.06E-05,7.56E-05
KCTD21,0.96273972,3.508415302,1.07E-05,7.59E-05
EPC2,1.050280963,2.870345489,1.07E-05,7.59E-05
FAM91A1,0.906784965,3.542340181,1.07E-05,7.60E-05
CASP2,0.868674243,4.549320203,1.09E-05,7.73E-05
PLIN5,1.59954558,4.242916199,1.11E-05,7.82E-05
FCGR2A,1.191795041,9.149795939,1.11E-05,7.83E-05
DENND10,0.867558055,3.620144007,1.11E-05,7.85E-05
TSPAN14,0.782148063,6.802684319,1.13E-05,7.99E-05
DDX42,0.790002901,5.100863377,1.15E-05,8.09E-05
USP3,0.80967394,5.318905883,1.15E-05,8.09E-05
ZMPSTE24,0.848574896,3.475013589,1.16E-05,8.11E-05
NCSTN,1.104360465,6.135548518,1.16E-05,8.11E-05
EAF1,0.851974518,3.393510524,1.16E-05,8.11E-05
MMGT1,0.840442923,3.194802461,1.16E-05,8.13E-05
GPER1,2.680588661,1.0457655,1.17E-05,8.17E-05
AFF1,1.236722752,5.262039933,1.17E-05,8.18E-05
GOLGA2,0.774884118,4.527435489,1.17E-05,8.19E-05
PAFAH1B1,0.751703538,5.308010876,1.20E-05,8.33E-05
CTR9,0.878641531,4.404778724,1.20E-05,8.35E-05
LOC646652,1.815027094,1.352994082,1.20E-05,8.39E-05
IL6ST,1.098626633,4.101333331,1.22E-05,8.47E-05
P2RX1,1.286960125,5.795286713,1.23E-05,8.51E-05
OGA,0.866128139,6.600054603,1.25E-05,8.64E-05
RAB20,1.378474665,3.515489391,1.25E-05,8.65E-05
H2BC21,1.166348836,4.804079,1.25E-05,8.65E-05
GOLPH3,0.883452432,4.283505758,1.26E-05,8.72E-05
RFX2,1.660740238,4.674465127,1.27E-05,8.74E-05
SAP30L,0.77881491,4.27640683,1.29E-05,8.87E-05
CHD1,1.116564442,4.546861947,1.29E-05,8.90E-05
LOC105375508,4.822180019,-1.40762026,1.30E-05,8.90E-05
ARHGAP19,0.895733724,3.289479805,1.32E-05,9.05E-05
GCNA,1.368580606,0.842827014,1.32E-05,9.05E-05
AFDN,1.518034283,1.690053861,1.33E-05,9.10E-05
PIP5K1A,0.851515555,3.793875046,1.33E-05,9.12E-05
SIRPB2,1.068610134,6.171149994,1.35E-05,9.25E-05
BIRC6,0.844742529,4.470771292,1.36E-05,9.25E-05
C3AR1,1.56083416,5.430094984,1.36E-05,9.25E-05
VCL,1.029228681,5.960593838,1.37E-05,9.32E-05
PFKFB4,1.209216727,5.990558565,1.37E-05,9.35E-05
MCL1,0.93415979,8.788131944,1.43E-05,9.73E-05
TLE4,0.950756045,5.066929147,1.45E-05,9.85E-05
RAB19,1.877251165,1.22877204,1.47E-05,9.94E-05
KCNJ15,1.339997201,6.938696659,1.47E-05,9.97E-05
FLVCR2,1.240102637,2.854682298,1.51E-05,0.000101733
LINC00862,2.646056091,-0.782166165,1.51E-05,0.000101952
LOC105371414,1.294051175,1.575510657,1.51E-05,0.000102113
EPB41L4B,4.991450199,-0.089684993,1.53E-05,0.000103047
NDST1,1.060405662,5.450373073,1.55E-05,0.000104445
ZBTB7B,0.806241328,7.395200189,1.58E-05,0.000106043
CTBS,1.122548123,4.000423485,1.58E-05,0.000106304
STX12,0.867004608,3.716850082,1.59E-05,0.000106894
MCMBP,0.86539212,4.982725991,1.60E-05,0.000107164
FKBP15,0.930347414,5.792630325,1.62E-05,0.000108321
TNRC18,0.899040903,6.560549156,1.64E-05,0.000109353
FURIN,1.070691195,7.647700505,1.64E-05,0.000109353
LOC112268259,1.454770411,1.087982482,1.64E-05,0.00010979
KCNQ1OT1,1.058711247,2.646493728,1.65E-05,0.000109992
FGF13-AS1,6.827382582,-3.09546946,1.65E-05,0.000110005
HIVEP1,1.253586972,3.310019246,1.66E-05,0.000110768
MYSM1,1.100811203,3.009231274,1.66E-05,0.000110768
SEMA4B,0.928680336,5.727431671,1.67E-05,0.000111395
LOC101929707,2.109348401,1.540818482,1.68E-05,0.000111476
ANXA3,1.985339292,6.071264796,1.68E-05,0.000111698
LOC107984088,1.501014583,1.823881594,1.69E-05,0.000112279
PIK3CA,0.985140921,3.311811547,1.71E-05,0.000113441
RAB14,0.789854794,4.731170648,1.71E-05,0.000113652
GUCY2C,2.495270373,0.237867797,1.73E-05,0.000114273
CDC73,0.888298127,3.282592884,1.74E-05,0.00011491
SOAT1,1.03031125,3.767444107,1.75E-05,0.00011546
LMBR1,0.994247311,3.130496715,1.77E-05,0.000117132
TGFBR2,0.912632837,6.471685746,1.78E-05,0.000117488
CUX1,0.92500899,5.865089614,1.82E-05,0.000120175
EXOSC4,1.595906038,3.596336383,1.84E-05,0.000120903
RAB36,1.547450313,1.971242965,1.84E-05,0.000120903
OAT,1.201880376,3.722696999,1.84E-05,0.000121002
LOC101929599,2.780582909,-0.14314478,1.86E-05,0.000122028
OR6N1,1.890957829,0.740575608,1.86E-05,0.000122119
FES,0.98173985,6.619151308,1.87E-05,0.00012281
SPATA1,1.515387723,1.098185274,1.89E-05,0.000123678
LINC02863,1.281151506,3.688518887,1.91E-05,0.000124886
CGGBP1,0.796667775,4.292836538,1.92E-05,0.000125264
DLC1,4.899899132,-1.886848706,1.92E-05,0.000125386
LOC107987399,1.94043191,1.267621894,1.92E-05,0.00012541
STK38,0.72842876,6.498601435,1.95E-05,0.000127036
KCTD20,0.740807456,4.770281314,1.95E-05,0.000127102
BAZ2A,0.802462885,6.478659907,1.95E-05,0.000127173
ATF7,0.830723141,3.591583252,1.96E-05,0.000127447
RRAGD,1.022279122,3.334311701,1.96E-05,0.000127695
CAMKK1,1.278572074,4.056300853,1.98E-05,0.000128373
SFXN5,1.004763558,4.175144994,1.98E-05,0.000128379
PTPN11,0.948400876,3.495822037,1.98E-05,0.000128379
PLCG2,0.982400116,6.198708921,1.99E-05,0.00012905
TMCC3,1.211555189,4.6665021,2.01E-05,0.000129805
RAPGEF6,1.00482903,3.373761505,2.02E-05,0.000130395
PNN,0.750027164,4.973586787,2.02E-05,0.000130395
CDK13,0.754486545,4.296776639,2.02E-05,0.000130421
PGK1,0.998845646,7.767474341,2.04E-05,0.000131629
ZZEF1,0.823156736,5.581297547,2.05E-05,0.000132026
PHLPP1,1.378623261,2.474936787,2.06E-05,0.000132801
LTN1,1.114256711,2.671903099,2.07E-05,0.000133218
TOPBP1,0.858269557,3.70563638,2.07E-05,0.000133502
CUL4B,0.823641812,4.247495107,2.08E-05,0.000133565
TAF8,0.815125567,4.192144154,2.12E-05,0.000135776
LRP10,0.971424783,8.987518986,2.12E-05,0.00013616
GABARAPL1-AS1,1.560723884,-0.428044683,2.16E-05,0.000138312
FAM107B,0.897386984,5.271009316,2.20E-05,0.000140408
ARGLU1,1.00983026,5.176271386,2.22E-05,0.000141782
PPM1M,0.939600119,6.376850539,2.25E-05,0.000143484
FOXJ3,0.844883637,3.772849192,2.26E-05,0.000143576
MPZ,1.180505264,2.421540752,2.26E-05,0.000143589
MSL2,0.977497511,4.373016137,2.26E-05,0.000143641
FAM151B,2.178222036,0.940531788,2.27E-05,0.000144127
THBD,1.690423338,3.778690394,2.30E-05,0.000145606
KCNMA1,3.718269428,1.718766903,2.30E-05,0.000145958
BEST1,1.31365394,4.64077688,2.31E-05,0.000146364
