"","logFC","logCPM","PValue","FDR"
"RGS6",0.748355013169493,0.136879507793906,0.0172015149999033,0.0282649258181422
"CBR1",0.748220827558101,1.97660237662276,0.000144025303198877,0.000354739432123657
"TOGARAM2",0.746666388948461,0.826656946532286,0.00841150713833437,0.0147523248869417
"ARSA",0.746535225925956,4.23261040572474,4.12637844662293e-06,1.30898890002378e-05
"SLC25A20",0.74646840320763,2.30244240541311,0.00236083861990283,0.00462395568119504
"SRPK1",0.746418952379412,3.64551457548139,3.99692341325683e-06,1.27041166768753e-05
"TUBG1",0.746293640158181,1.59196007517024,0.00535898332378314,0.00978599167035493
"TUBB4B",0.746158036969358,4.80055880881085,0.000473702461573297,0.00106055467844213
"ANKRD24",0.745815681106275,-1.39398699412423,0.0102701938665859,0.017699544122445
"RASA4CP",0.745478381410788,0.310897160318449,6.93860627137099e-05,0.000180955780474532
"RBM22",0.745076217787733,3.63625452305321,3.32266555234999e-08,1.42045204075176e-07
"PRDM4",0.744695480026331,1.95301345635278,2.15465473835345e-05,6.12077105816951e-05
"TAF6",0.743664538496693,2.50565152916079,8.60086949133599e-08,3.46519289178688e-07
"DPP9",0.743544623229682,3.96570718250504,6.37490923636408e-10,3.3151130436107e-09
"PTK6",0.743449482236385,-0.684509981687368,0.00831839007762011,0.0146000154640381
"TCEANC2",0.742864611482136,1.99471345513709,3.08918057557852e-05,8.55746451342471e-05
"SAMHD1",0.7423975172458,6.25561055624191,4.3022369376244e-06,1.3602564214654e-05
"UBP1",0.742279457268443,2.89670586601319,2.67422426466066e-07,1.0066252642444e-06
"KLHL5",0.741427281724307,2.17027067795074,9.14522413628874e-05,0.000233227641152757
"ANKRD6",0.74093197818471,-1.07423143138865,0.0218238654000581,0.0350255968466475
"ZNF561",0.740708397519332,1.47200392987064,4.94960191937658e-07,1.79024747383553e-06
"MPG",0.739758662700585,2.54108477818922,0.000692472187216993,0.00150037655086831
"SMTN",0.739381058183084,-0.0444309698763554,0.00166254617251281,0.00335001119626668
"RPP25L",0.737970339049421,1.64231646711805,0.00205408986065869,0.0040685204149284
"CCNG2",0.737942014559172,1.64057730320276,0.00675578859367126,0.0120846772715786
"ZFYVE19",0.737927822166717,2.20886037236657,8.7110417730459e-05,0.000223363275209293
"SCD",0.737349774375192,0.238655564335832,0.0117749215343649,0.0200460045267538
"TMPO-AS1",0.73725715632346,-1.22706536072817,0.00623474078925056,0.0112297143219
"C11orf54",0.737082522053295,1.39988507271905,2.090017329002e-06,6.92562335955734e-06
"DNASE1",0.736651116153751,2.74145725721206,4.14417868012963e-05,0.000112391719371748
"NCAPH2",0.7358076442956,3.90072056793369,2.03864748597259e-06,6.76563530256957e-06
"KHDC4",0.7357273721788,2.33048695620317,9.75604613768136e-08,3.89896331960846e-07
"SHF",0.735353907059712,-1.32548211054741,0.0118539094875613,0.0201705701944561
"FBXL19-AS1",0.735173499178617,-1.20679852073298,0.0273230234690586,0.0429444169570874
