Module	Section	Sample Name	Source
FastQC	all_sections	SRR15042753_1	/home/nyamarim/qualitycontrol/SRR15042753_1_fastqc.zip
FastQC	all_sections	SRR15042753_2	/home/nyamarim/qualitycontrol/SRR15042753_2_fastqc.zip
FastQC	all_sections	SRR15042754_1	/home/nyamarim/qualitycontrol/SRR15042754_1_fastqc.zip
FastQC	all_sections	SRR15042754_2	/home/nyamarim/qualitycontrol/SRR15042754_2_fastqc.zip
FastQC	all_sections	SRR15042755_1	/home/nyamarim/qualitycontrol/SRR15042755_1_fastqc.zip
FastQC	all_sections	SRR15042755_2	/home/nyamarim/qualitycontrol/SRR15042755_2_fastqc.zip
FastQC	all_sections	SRR15042756_1	/home/nyamarim/qualitycontrol/SRR15042756_1_fastqc.zip
FastQC	all_sections	SRR15042756_2	/home/nyamarim/qualitycontrol/SRR15042756_2_fastqc.zip
FastQC	all_sections	SRR15042757_1	/home/nyamarim/qualitycontrol/SRR15042757_1_fastqc.zip
FastQC	all_sections	SRR15042757_2	/home/nyamarim/qualitycontrol/SRR15042757_2_fastqc.zip
FastQC	all_sections	SRR15042758_1	/home/nyamarim/qualitycontrol/SRR15042758_1_fastqc.zip
FastQC	all_sections	SRR15042758_2	/home/nyamarim/qualitycontrol/SRR15042758_2_fastqc.zip
FastQC	all_sections	SRR15042759_1	/home/nyamarim/qualitycontrol/SRR15042759_1_fastqc.zip
FastQC	all_sections	SRR15042759_2	/home/nyamarim/qualitycontrol/SRR15042759_2_fastqc.zip
FastQC	all_sections	SRR15042760_1	/home/nyamarim/qualitycontrol/SRR15042760_1_fastqc.zip
FastQC	all_sections	SRR15042760_2	/home/nyamarim/qualitycontrol/SRR15042760_2_fastqc.zip
FastQC	all_sections	SRR15042761_1	/home/nyamarim/qualitycontrol/SRR15042761_1_fastqc.zip
FastQC	all_sections	SRR15042761_2	/home/nyamarim/qualitycontrol/SRR15042761_2_fastqc.zip
FastQC	all_sections	SRR15042762_1	/home/nyamarim/qualitycontrol/SRR15042762_1_fastqc.zip
FastQC	all_sections	SRR15042762_2	/home/nyamarim/qualitycontrol/SRR15042762_2_fastqc.zip
FastQC	all_sections	SRR15042763_1	/home/nyamarim/qualitycontrol/SRR15042763_1_fastqc.zip
FastQC	all_sections	SRR15042763_2	/home/nyamarim/qualitycontrol/SRR15042763_2_fastqc.zip
FastQC	all_sections	SRR15042764_1	/home/nyamarim/qualitycontrol/SRR15042764_1_fastqc.zip
FastQC	all_sections	SRR15042764_2	/home/nyamarim/qualitycontrol/SRR15042764_2_fastqc.zip
FastQC	all_sections	SRR15042765_1	/home/nyamarim/qualitycontrol/SRR15042765_1_fastqc.zip
FastQC	all_sections	SRR15042765_2	/home/nyamarim/qualitycontrol/SRR15042765_2_fastqc.zip
FastQC	all_sections	SRR15042766_1	/home/nyamarim/qualitycontrol/SRR15042766_1_fastqc.zip
FastQC	all_sections	SRR15042766_2	/home/nyamarim/qualitycontrol/SRR15042766_2_fastqc.zip
FastQC	all_sections	SRR15042767_1	/home/nyamarim/qualitycontrol/SRR15042767_1_fastqc.zip
FastQC	all_sections	SRR15042767_2	/home/nyamarim/qualitycontrol/SRR15042767_2_fastqc.zip
FastQC	all_sections	SRR15042768_1	/home/nyamarim/qualitycontrol/SRR15042768_1_fastqc.zip
FastQC	all_sections	SRR15042768_2	/home/nyamarim/qualitycontrol/SRR15042768_2_fastqc.zip
FastQC	all_sections	SRR15042769_1	/home/nyamarim/qualitycontrol/SRR15042769_1_fastqc.zip
FastQC	all_sections	SRR15042769_2	/home/nyamarim/qualitycontrol/SRR15042769_2_fastqc.zip
FastQC	all_sections	SRR15042770_1	/home/nyamarim/qualitycontrol/SRR15042770_1_fastqc.zip
FastQC	all_sections	SRR15042770_2	/home/nyamarim/qualitycontrol/SRR15042770_2_fastqc.zip
FastQC	all_sections	SRR15042771_1	/home/nyamarim/qualitycontrol/SRR15042771_1_fastqc.zip
FastQC	all_sections	SRR15042771_2	/home/nyamarim/qualitycontrol/SRR15042771_2_fastqc.zip
