Sample	Filename	File type	Encoding	Total Sequences	Sequences flagged as poor quality	Sequence length	%GC	total_deduplicated_percentage	avg_sequence_length	basic_statistics	per_base_sequence_quality	per_sequence_quality_scores	per_base_sequence_content	per_sequence_gc_content	per_base_n_content	sequence_length_distribution	sequence_duplication_levels	overrepresented_sequences	adapter_content
SRR15042704_1	SRR15042704_1.fastq	Conventional base calls	Sanger / Illumina 1.9	11422321.0	0.0	38.0	46.0	52.60033713250775	38.0	pass	pass	pass	fail	warn	pass	pass	warn	warn	pass
SRR15042704_2	SRR15042704_2.fastq	Conventional base calls	Sanger / Illumina 1.9	11422321.0	0.0	38.0	46.0	53.30646808303151	38.0	pass	pass	pass	fail	warn	pass	pass	warn	warn	pass
SRR15042705_1	SRR15042705_1.fastq	Conventional base calls	Sanger / Illumina 1.9	9129064.0	0.0	38.0	46.0	52.92428686032675	38.0	pass	pass	pass	fail	fail	pass	pass	warn	warn	pass
SRR15042705_2	SRR15042705_2.fastq	Conventional base calls	Sanger / Illumina 1.9	9129064.0	0.0	38.0	46.0	53.69357919595694	38.0	pass	pass	pass	fail	fail	pass	pass	warn	warn	pass
SRR15042706_1	SRR15042706_1.fastq	Conventional base calls	Sanger / Illumina 1.9	13131389.0	0.0	38.0	47.0	45.35881007627028	38.0	pass	pass	pass	fail	fail	pass	pass	fail	warn	pass
SRR15042706_2	SRR15042706_2.fastq	Conventional base calls	Sanger / Illumina 1.9	13131389.0	0.0	38.0	47.0	46.08827143111325	38.0	pass	pass	pass	fail	fail	pass	pass	fail	warn	pass
SRR15042707_1	SRR15042707_1.fastq	Conventional base calls	Sanger / Illumina 1.9	8886852.0	0.0	38.0	44.0	50.64438818832034	38.0	pass	pass	pass	fail	fail	pass	pass	warn	warn	pass
SRR15042707_2	SRR15042707_2.fastq	Conventional base calls	Sanger / Illumina 1.9	8886852.0	0.0	38.0	44.0	51.60668612469015	38.0	pass	pass	pass	fail	fail	pass	pass	warn	warn	pass
SRR15042708_1	SRR15042708_1.fastq	Conventional base calls	Sanger / Illumina 1.9	9999595.0	0.0	38.0	46.0	53.52094606274247	38.0	pass	pass	pass	fail	fail	pass	pass	warn	warn	pass
SRR15042708_2	SRR15042708_2.fastq	Conventional base calls	Sanger / Illumina 1.9	9999595.0	0.0	38.0	46.0	54.28571112524673	38.0	pass	pass	pass	fail	fail	pass	pass	warn	warn	pass
SRR15042709_1	SRR15042709_1.fastq	Conventional base calls	Sanger / Illumina 1.9	7852588.0	0.0	38.0	46.0	55.40533611164901	38.0	pass	pass	pass	fail	fail	pass	pass	warn	warn	pass
SRR15042709_2	SRR15042709_2.fastq	Conventional base calls	Sanger / Illumina 1.9	7852588.0	0.0	38.0	46.0	53.18617403432641	38.0	pass	pass	pass	fail	fail	pass	pass	warn	warn	pass
SRR15042710_1	SRR15042710_1.fastq	Conventional base calls	Sanger / Illumina 1.9	11341893.0	0.0	38.0	46.0	48.78321711078547	38.0	pass	pass	pass	fail	fail	pass	pass	fail	warn	pass
SRR15042710_2	SRR15042710_2.fastq	Conventional base calls	Sanger / Illumina 1.9	11341893.0	0.0	38.0	46.0	46.83726435489596	38.0	pass	pass	pass	fail	fail	pass	pass	fail	warn	pass
SRR15042711_1	SRR15042711_1.fastq	Conventional base calls	Sanger / Illumina 1.9	10201652.0	0.0	38.0	46.0	54.99830906228799	38.0	pass	pass	pass	fail	warn	pass	pass	warn	warn	pass
SRR15042711_2	SRR15042711_2.fastq	Conventional base calls	Sanger / Illumina 1.9	10201652.0	0.0	38.0	46.0	55.7296062541219	38.0	pass	pass	pass	fail	warn	pass	pass	warn	warn	pass
SRR15042712_1	SRR15042712_1.fastq	Conventional base calls	Sanger / Illumina 1.9	10103769.0	0.0	38.0	47.0	48.24581674147528	38.0	pass	pass	pass	fail	fail	pass	pass	fail	warn	pass
SRR15042712_2	SRR15042712_2.fastq	Conventional base calls	Sanger / Illumina 1.9	10103769.0	0.0	38.0	47.0	49.058585733447394	38.0	pass	pass	pass	fail	fail	pass	pass	fail	warn	pass
SRR15042713_1	SRR15042713_1.fastq	Conventional base calls	Sanger / Illumina 1.9	11046471.0	0.0	38.0	46.0	44.185496763553665	38.0	pass	pass	pass	fail	fail	pass	pass	fail	warn	pass
SRR15042713_2	SRR15042713_2.fastq	Conventional base calls	Sanger / Illumina 1.9	11046471.0	0.0	38.0	46.0	44.98014503446015	38.0	pass	pass	pass	fail	fail	pass	pass	fail	warn	pass
SRR15042714_1	SRR15042714_1.fastq	Conventional base calls	Sanger / Illumina 1.9	11453059.0	0.0	38.0	45.0	43.75967900527129	38.0	pass	pass	pass	fail	fail	pass	pass	fail	warn	pass
SRR15042714_2	SRR15042714_2.fastq	Conventional base calls	Sanger / Illumina 1.9	11453059.0	0.0	38.0	45.0	44.55666039139051	38.0	pass	pass	pass	fail	fail	pass	pass	fail	warn	pass
SRR15042715_1	SRR15042715_1.fastq	Conventional base calls	Sanger / Illumina 1.9	8831798.0	0.0	38.0	44.0	43.80215906920733	38.0	pass	pass	pass	fail	fail	pass	pass	fail	warn	pass
SRR15042715_2	SRR15042715_2.fastq	Conventional base calls	Sanger / Illumina 1.9	8831798.0	0.0	38.0	44.0	44.54594201563468	38.0	pass	pass	pass	fail	fail	pass	pass	fail	warn	pass
SRR15042716_1	SRR15042716_1.fastq	Conventional base calls	Sanger / Illumina 1.9	11837865.0	0.0	38.0	44.0	36.92037609108457	38.0	pass	pass	pass	fail	fail	pass	pass	fail	warn	pass
SRR15042716_2	SRR15042716_2.fastq	Conventional base calls	Sanger / Illumina 1.9	11837865.0	0.0	38.0	44.0	37.66743225731968	38.0	pass	pass	pass	fail	fail	pass	pass	fail	warn	pass
SRR15042717_1	SRR15042717_1.fastq	Conventional base calls	Sanger / Illumina 1.9	10762238.0	0.0	38.0	46.0	52.469578623908845	38.0	pass	pass	pass	fail	fail	pass	pass	warn	warn	pass
SRR15042717_2	SRR15042717_2.fastq	Conventional base calls	Sanger / Illumina 1.9	10762238.0	0.0	38.0	46.0	50.26546561389722	38.0	pass	pass	pass	fail	fail	pass	pass	warn	warn	pass
SRR15042718_1	SRR15042718_1.fastq	Conventional base calls	Sanger / Illumina 1.9	8809829.0	0.0	38.0	47.0	57.651436802254786	38.0	pass	pass	pass	fail	fail	pass	pass	warn	warn	pass
SRR15042718_2	SRR15042718_2.fastq	Conventional base calls	Sanger / Illumina 1.9	8809829.0	0.0	38.0	47.0	55.51303128149505	38.0	pass	pass	pass	fail	fail	pass	pass	warn	warn	pass
SRR15042719_1	SRR15042719_1.fastq	Conventional base calls	Sanger / Illumina 1.9	10140478.0	0.0	38.0	45.0	49.99136412677627	38.0	pass	pass	pass	fail	fail	pass	pass	fail	warn	pass
SRR15042719_2	SRR15042719_2.fastq	Conventional base calls	Sanger / Illumina 1.9	10140478.0	0.0	38.0	46.0	48.03544734875966	38.0	pass	pass	pass	fail	fail	pass	pass	fail	warn	pass
SRR15042720_1	SRR15042720_1.fastq	Conventional base calls	Sanger / Illumina 1.9	10960760.0	0.0	38.0	47.0	45.10831134674104	38.0	pass	pass	pass	fail	fail	pass	pass	fail	warn	pass
