Sample	FastQC_mqc-generalstats-fastqc-percent_duplicates	FastQC_mqc-generalstats-fastqc-percent_gc	FastQC_mqc-generalstats-fastqc-avg_sequence_length	FastQC_mqc-generalstats-fastqc-percent_fails	FastQC_mqc-generalstats-fastqc-total_sequences
SRR15042766_2	49.916146671213305	45.0	38.0	20.0	9583309.0
SRR15042767_1	48.28550583386422	45.0	38.0	20.0	6827575.0
SRR15042767_2	47.33781980845551	45.0	38.0	20.0	6827575.0
SRR15042768_1	52.286628272643355	44.0	38.0	30.0	9193617.0
SRR15042768_2	51.15447758645553	44.0	38.0	30.0	9193617.0
SRR15042769_1	46.28668709489913	46.0	38.0	10.0	8852764.0
SRR15042769_2	45.355251842611096	46.0	38.0	20.0	8852764.0
SRR15042770_1	51.38075026295547	46.0	38.0	30.0	6504165.0
SRR15042770_2	50.55149028569309	46.0	38.0	30.0	6504165.0
SRR15042771_1	52.07898488478226	46.0	38.0	20.0	11131423.0
SRR15042771_2	51.3252276136711	46.0	38.0	30.0	11131423.0
